id,width_init,height_init,scale_first,scale_second,width_inter,height_inter,width_res,height_res,throughput,mode,interpolation,time_ms,mse,psnr,ssim,total_images,used_ai,model_name
abc924ef-e3d3-419e-ae06-a40dda313a0b,512,512,0.5,2,256,256,512,512,4687931.987,reconstruct,Super-Resolution,55.9189,42.4192098,31.85517787,0.934033523,12,True,espcn
abc924ef-e3d3-419e-ae06-a40dda313a0b,706,490,0.5,2,353,245,706,490,4595487.14,reconstruct,Super-Resolution,75.2782,33.9779191,32.81883583,0.962115886,12,True,espcn
abc924ef-e3d3-419e-ae06-a40dda313a0b,749,768,0.5,2,374,384,748,768,5249756.001,reconstruct,Super-Resolution,109.4268,173.8674616,25.72862047,0.869760555,12,True,espcn
abc924ef-e3d3-419e-ae06-a40dda313a0b,720,576,0.5,2,360,288,720,576,4515674.526,reconstruct,Super-Resolution,91.8401,42.83595679,31.81271889,0.870034082,12,True,espcn
abc924ef-e3d3-419e-ae06-a40dda313a0b,768,512,0.5,2,384,256,768,512,4157250.152,reconstruct,Super-Resolution,94.5856,111.1123318,27.67318099,0.891399252,12,True,espcn
abc924ef-e3d3-419e-ae06-a40dda313a0b,768,512,0.5,2,384,256,768,512,4632774.485,reconstruct,Super-Resolution,84.877,61.87690565,30.21551774,0.854441819,12,True,espcn
abc924ef-e3d3-419e-ae06-a40dda313a0b,512,768,0.5,2,256,384,512,768,4258617.067,reconstruct,Super-Resolution,92.3342,34.60071225,32.73995322,0.931075379,12,True,espcn
abc924ef-e3d3-419e-ae06-a40dda313a0b,512,512,0.5,2,256,256,512,512,4373841.444,reconstruct,Super-Resolution,59.9345,31.32729721,33.17157433,0.861171418,12,True,espcn
abc924ef-e3d3-419e-ae06-a40dda313a0b,512,512,0.5,2,256,256,512,512,4702185.136,reconstruct,Super-Resolution,55.7494,52.25698344,30.94936025,0.835303415,12,True,espcn
abc924ef-e3d3-419e-ae06-a40dda313a0b,1024,768,0.5,2,512,384,1024,768,4844888.555,reconstruct,Super-Resolution,162.322,45.95848846,31.50714624,0.875000612,12,True,espcn
abc924ef-e3d3-419e-ae06-a40dda313a0b,529,656,0.5,2,264,328,528,656,4408882.734,reconstruct,Super-Resolution,78.5614,260.4310749,23.97387557,0.933085138,12,True,espcn
abc924ef-e3d3-419e-ae06-a40dda313a0b,787,576,0.5,2,394,288,788,576,4690607.067,reconstruct,Super-Resolution,96.7653,31.29359985,33.17624836,0.915014154,12,True,espcn
d7bec887-68f9-4afe-947a-27bdb6ed8607,512,512,0.5,2,256,256,512,512,3199597.707,reconstruct,Super-Resolution,81.9303,42.5145696,31.84542574,0.931642186,12,True,fsrcnn
d7bec887-68f9-4afe-947a-27bdb6ed8607,706,490,0.5,2,353,245,706,490,3065371.072,reconstruct,Super-Resolution,112.8542,34.21597387,32.78851455,0.962099946,12,True,fsrcnn
d7bec887-68f9-4afe-947a-27bdb6ed8607,749,768,0.5,2,374,384,748,768,3235631.235,reconstruct,Super-Resolution,177.5431,180.6969484,25.56129543,0.867747892,12,True,fsrcnn
d7bec887-68f9-4afe-947a-27bdb6ed8607,720,576,0.5,2,360,288,720,576,2684972.197,reconstruct,Super-Resolution,154.4597,42.6773341,31.82883078,0.869918851,12,True,fsrcnn
d7bec887-68f9-4afe-947a-27bdb6ed8607,768,512,0.5,2,384,256,768,512,2732742.792,reconstruct,Super-Resolution,143.8906,114.2089547,27.55380204,0.889279606,12,True,fsrcnn
d7bec887-68f9-4afe-947a-27bdb6ed8607,768,512,0.5,2,384,256,768,512,3192253.175,reconstruct,Super-Resolution,123.1782,63.33409458,30.11442795,0.852521114,12,True,fsrcnn
d7bec887-68f9-4afe-947a-27bdb6ed8607,512,768,0.5,2,256,384,512,768,2777270.814,reconstruct,Super-Resolution,141.5836,34.40132141,32.76505236,0.931526255,12,True,fsrcnn
d7bec887-68f9-4afe-947a-27bdb6ed8607,512,512,0.5,2,256,256,512,512,2764511.778,reconstruct,Super-Resolution,94.8247,32.64317067,32.99288025,0.85881587,12,True,fsrcnn
d7bec887-68f9-4afe-947a-27bdb6ed8607,512,512,0.5,2,256,256,512,512,3483238.483,reconstruct,Super-Resolution,75.2587,50.91492971,31.06235212,0.834312945,12,True,fsrcnn
d7bec887-68f9-4afe-947a-27bdb6ed8607,1024,768,0.5,2,512,384,1024,768,3302826.271,reconstruct,Super-Resolution,238.1088,46.1019126,31.49361418,0.927126413,12,True,fsrcnn
d7bec887-68f9-4afe-947a-27bdb6ed8607,529,656,0.5,2,264,328,528,656,2693263.808,reconstruct,Super-Resolution,128.6053,278.4718924,23.68298995,0.929900573,12,True,fsrcnn
d7bec887-68f9-4afe-947a-27bdb6ed8607,787,576,0.5,2,394,288,788,576,3086877.601,reconstruct,Super-Resolution,147.0379,31.44283775,33.15558626,0.913918485,12,True,fsrcnn
2fe6b166-7108-4afc-abb6-39ac36e96da2,512,512,0.33,3,169,169,507,507,25755122.49,reconstruct,Nearest Neighbor,9.9805,440.6311811,21.69005134,0.695524541,12,False,-
2fe6b166-7108-4afc-abb6-39ac36e96da2,706,490,0.33,3,233,162,699,486,29242330.34,reconstruct,Nearest Neighbor,11.6172,486.3024523,21.26173901,0.817167383,12,False,-
2fe6b166-7108-4afc-abb6-39ac36e96da2,749,768,0.33,3,247,253,741,759,34302835.5,reconstruct,Nearest Neighbor,16.3957,1036.688117,17.97432241,0.58307786,12,False,-
2fe6b166-7108-4afc-abb6-39ac36e96da2,720,576,0.33,3,238,190,714,570,26590615.08,reconstruct,Nearest Neighbor,15.3054,294.0068978,23.44722841,0.54325305,12,False,-
2fe6b166-7108-4afc-abb6-39ac36e96da2,768,512,0.33,3,253,169,759,507,16102646.72,reconstruct,Nearest Neighbor,23.8975,1195.629415,17.3548377,0.355111612,12,False,-
2fe6b166-7108-4afc-abb6-39ac36e96da2,768,512,0.33,3,253,169,759,507,18666107.22,reconstruct,Nearest Neighbor,20.6156,264.6403775,23.90424254,0.560598664,12,False,-
2fe6b166-7108-4afc-abb6-39ac36e96da2,512,768,0.33,3,169,253,507,759,18232139.22,reconstruct,Nearest Neighbor,21.1063,355.3543506,22.62418724,0.601789048,12,False,-
2fe6b166-7108-4afc-abb6-39ac36e96da2,512,512,0.33,3,169,169,507,507,28736291.38,reconstruct,Nearest Neighbor,8.9451,325.4766108,23.00560576,0.580989294,12,False,-
2fe6b166-7108-4afc-abb6-39ac36e96da2,512,512,0.33,3,169,169,507,507,25751768.22,reconstruct,Nearest Neighbor,9.9818,429.0612768,21.8056104,0.588239859,12,False,-
2fe6b166-7108-4afc-abb6-39ac36e96da2,1024,768,0.33,3,338,253,1014,759,26418305.45,reconstruct,Nearest Neighbor,29.1323,366.2276573,22.49329222,0.78931259,12,False,-
2fe6b166-7108-4afc-abb6-39ac36e96da2,529,656,0.33,3,175,216,525,648,24163304.73,reconstruct,Nearest Neighbor,14.0792,1629.576189,16.01005691,0.705618242,12,False,-
2fe6b166-7108-4afc-abb6-39ac36e96da2,787,576,0.33,3,260,190,780,570,26264177.69,reconstruct,Nearest Neighbor,16.928,151.1139127,26.3377591,0.75105121,12,False,-
f4e5fd65-4ca9-4a25-86b6-c4782c16201e,512,512,0.33,3,169,169,507,507,18987922.44,reconstruct,Bilinear,13.5375,136.3472633,26.78433935,0.861324539,12,False,-
f4e5fd65-4ca9-4a25-86b6-c4782c16201e,706,490,0.33,3,233,162,699,486,21905584.82,reconstruct,Bilinear,15.5081,150.3155451,26.36076465,0.902048813,12,False,-
