id,width_init,height_init,scale,width_res,height_res,throughput,mode,interpolation,time_ms,mse,psnr,ssim,total_images,used_ai,model_name
0c1674f5-53bd-4a29-b730-f32611a08be9,500,480,2,1000,960,4775929.316,one_way,Super-Resolution,201.008,12.58695417,37.1315971,0.982502829,10,True,espcn
0c1674f5-53bd-4a29-b730-f32611a08be9,288,288,2,576,576,4413699.155,one_way,Super-Resolution,75.1696,0.795793949,49.12279728,0.996316365,10,True,espcn
0c1674f5-53bd-4a29-b730-f32611a08be9,256,256,2,512,512,4301186.771,one_way,Super-Resolution,60.9469,1.21925354,47.26986336,0.997311157,10,True,espcn
0c1674f5-53bd-4a29-b730-f32611a08be9,256,256,2,512,512,4844300.633,one_way,Super-Resolution,54.1139,1.047317505,47.93001998,0.998873309,10,True,espcn
0c1674f5-53bd-4a29-b730-f32611a08be9,128,128,2,256,256,3826428.138,one_way,Super-Resolution,17.1272,0.852701823,48.82283169,0.996937325,10,True,espcn
0c1674f5-53bd-4a29-b730-f32611a08be9,1024,1024,2,2048,2048,5288394.568,one_way,Super-Resolution,793.1148,1.847276052,45.46548561,0.998520762,10,True,espcn
0c1674f5-53bd-4a29-b730-f32611a08be9,1024,1024,2,2048,2048,5608861.734,one_way,Super-Resolution,747.7995,0.924181938,48.47322884,0.967966345,10,True,espcn
f8821f22-dc9f-4cbe-899e-dd5c92415166,512,512,2,1024,1024,3383373.08,one_way,Super-Resolution,309.9203,3.302195231,42.94277615,0.991184371,10,True,fsrcnn
f8821f22-dc9f-4cbe-899e-dd5c92415166,512,512,2,1024,1024,3472174.944,one_way,Super-Resolution,301.994,1.899079641,45.34537183,0.989117716,10,True,fsrcnn
f8821f22-dc9f-4cbe-899e-dd5c92415166,512,512,2,1024,1024,3418883.454,one_way,Super-Resolution,306.7013,3.972417196,42.14025508,0.983381917,10,True,fsrcnn
f8821f22-dc9f-4cbe-899e-dd5c92415166,500,480,2,1000,960,3053062.221,one_way,Super-Resolution,314.4384,12.453475,37.17789808,0.982614725,10,True,fsrcnn
f8821f22-dc9f-4cbe-899e-dd5c92415166,288,288,2,576,576,2708813.343,one_way,Super-Resolution,122.4802,0.725240323,49.52598418,0.996897329,10,True,fsrcnn
f8821f22-dc9f-4cbe-899e-dd5c92415166,256,256,2,512,512,2866948.246,one_way,Super-Resolution,91.4366,1.0241038,48.02736383,0.997606433,10,True,fsrcnn
f8821f22-dc9f-4cbe-899e-dd5c92415166,256,256,2,512,512,3347370.948,one_way,Super-Resolution,78.3134,0.991795858,48.16658071,0.998898967,10,True,fsrcnn
f8821f22-dc9f-4cbe-899e-dd5c92415166,128,128,2,256,256,2275350.142,one_way,Super-Resolution,28.8026,0.76936849,49.26945966,0.997182223,10,True,fsrcnn
f8821f22-dc9f-4cbe-899e-dd5c92415166,1024,1024,2,2048,2048,3297030.113,one_way,Super-Resolution,1272.1461,1.243544579,47.18419002,0.998893488,10,True,fsrcnn
f8821f22-dc9f-4cbe-899e-dd5c92415166,1024,1024,2,2048,2048,3449606.7,one_way,Super-Resolution,1215.8789,0.652901332,49.98232807,0.998313922,10,True,fsrcnn
286ff637-f0d3-4003-b97c-8181bd427831,512,512,3,1536,1536,33169582.29,one_way,Nearest Neighbor,71.1283,0,100,0.999999991,10,False,-
286ff637-f0d3-4003-b97c-8181bd427831,512,512,3,1536,1536,38050583.67,one_way,Nearest Neighbor,62.0042,0,100,0.999999979,10,False,-
286ff637-f0d3-4003-b97c-8181bd427831,512,512,3,1536,1536,32506995.91,one_way,Nearest Neighbor,72.5781,0,100,0.999999976,10,False,-
